0205,WM_RBUTTONUP
0206,WM_RBUTTONDBLCLK
0207,WM_MBUTTONDOWN
0208,WM_MBUTTONUP
0209,WM_MBUTTONDBLCLK
0209,WM_MOUSELAST
020a,WM_MOUSEWHEEL
020b,WM_XBUTTONDOWN
020c,WM_XBUTTONUP
020d,WM_XBUTTONDBLCLK
020e,WM_MOUSEHWHEEL
0210,WM_PARENTNOTIFY
0211,WM_ENTERMENULOOP
0212,WM_EXITMENULOOP
0213,WM_NEXTMENU
0214,WM_SIZING
0215,WM_CAPTURECHANGED
0216,WM_MOVING
0218,WM_POWERBROADCAST
0219,WM_DEVICECHANGE
0220,WM_MDICREATE
0221,WM_MDIDESTROY
0222,WM_MDIACTIVATE
0223,WM_MDIRESTORE
0224,WM_MDINEXT
0225,WM_MDIMAXIMIZE
0226,WM_MDITILE
0227,WM_MDICASCADE
0228,WM_MDIICONARRANGE
0229,WM_MDIGETACTIVE
0230,WM_MDISETMENU
0231,WM_ENTERSIZEMOVE
0232,WM_EXITSIZEMOVE
0233,WM_DROPFILES
0234,WM_MDIREFRESHMENU
0280,WM_IME_REPORT
0281,WM_IME_SETCONTEXT
0282,WM_IME_NOTIFY
0283,WM_IME_CONTROL
0284,WM_IME_COMPOSITIONFULL
0285,WM_IME_SELECT
0286,WM_IME_CHAR
0288,WM_IME_REQUEST
0290,WM_IMEKEYDOWN
0290,WM_IME_KEYDOWN
0291,WM_IMEKEYUP
0291,WM_IME_KEYUP
02a0,WM_NCMOUSEHOVER
02a1,WM_MOUSEHOVER
02a2,WM_NCMOUSELEAVE
02a3,WM_MOUSELEAVE
0300,WM_CUT
0301,WM_COPY
0302,WM_PASTE
0303,WM_CLEAR
0304,WM_UNDO
0305,WM_RENDERFORMAT
0306,WM_RENDERALLFORMATS
0307,WM_DESTROYCLIPBOARD
0308,WM_DRAWCLIPBOARD
0309,WM_PAINTCLIPBOARD
030a,WM_VSCROLLCLIPBOARD
030b,WM_SIZECLIPBOARD
030c,WM_ASKCBFORMATNAME
030d,WM_CHANGECBCHAIN
030e,WM_HSCROLLCLIPBOARD
030f,WM_QUERYNEWPALETTE
0310,WM_PALETTEISCHANGING
0311,WM_PALETTECHANGED
0312,WM_HOTKEY
0317,WM_PRINT
0318,WM_PRINTCLIENT
0319,WM_APPCOMMAND
0358,WM_HANDHELDFIRST
035f,WM_HANDHELDLAST
0360,WM_AFXFIRST
037f,WM_AFXLAST
0380,WM_PENWINFIRST
0381,WM_RCRESULT
0382,WM_HOOKRCRESULT
0383,WM_GLOBALRCCHANGE
0383,WM_PENMISCINFO
0384,WM_SKB
0385,WM_HEDITCTL
0385,WM_PENCTL
0386,WM_PENMISC
0387,WM_CTLINIT
0388,WM_PENEVENT
038f,WM_PENWINLAST
0400,DDM_SETFMT
0400,DM_GETDEFID
0400,NIN_SELECT
0400,TBM_GETPOS
0400,WM_PSD_PAGESETUPDLG
0400,WM_USER
0401,CBEM_INSERTITEMA
0401,DDM_DRAW
0401,DM_SETDEFID
0401,HKM_SETHOTKEY
0401,PBM_SETRANGE
0401,RB_INSERTBANDA
0401,SB_SETTEXTA
0401,TB_ENABLEBUTTON
0401,TBM_GETRANGEMIN
0401,TTM_ACTIVATE
0401,WM_CHOOSEFONT_GETLOGFONT
0401,WM_PSD_FULLPAGERECT
0402,CBEM_SETIMAGELIST
0402,DDM_CLOSE
0402,DM_REPOSITION
0402,HKM_GETHOTKEY
0402,PBM_SETPOS
0402,RB_DELETEBAND
0402,SB_GETTEXTA
0402,TB_CHECKBUTTON
0402,TBM_GETRANGEMAX
0402,WM_PSD_MINMARGINRECT
0403,CBEM_GETIMAGELIST
0403,DDM_BEGIN
0403,HKM_SETRULES
0403,PBM_DELTAPOS
0403,RB_GETBARINFO
0403,SB_GETTEXTLENGTHA
0403,TBM_GETTIC
0403,TB_PRESSBUTTON
0403,TTM_SETDELAYTIME
0403,WM_PSD_MARGINRECT
0404,CBEM_GETITEMA
0404,DDM_END
0404,PBM_SETSTEP
0404,RB_SETBARINFO
0404,SB_SETPARTS
0404,TB_HIDEBUTTON
0404,TBM_SETTIC
0404,TTM_ADDTOOLA
0404,WM_PSD_GREEKTEXTRECT
0405,CBEM_SETITEMA
0405,PBM_STEPIT
0405,TB_INDETERMINATE
0405,TBM_SETPOS
0405,TTM_DELTOOLA
0405,WM_PSD_ENVSTAMPRECT
0406,CBEM_GETCOMBOCONTROL
0406,PBM_SETRANGE32
0406,RB_SETBANDINFOA
0406,SB_GETPARTS
0406,TB_MARKBUTTON
0406,TBM_SETRANGE
0406,TTM_NEWTOOLRECTA
0406,WM_PSD_YAFULLPAGERECT
0407,CBEM_GETEDITCONTROL
0407,PBM_GETRANGE
0407,RB_SETPARENT
0407,SB_GETBORDERS
0407,TBM_SETRANGEMIN
0407,TTM_RELAYEVENT
0408,CBEM_SETEXSTYLE
0408,PBM_GETPOS
0408,RB_HITTEST
0408,SB_SETMINHEIGHT
0408,TBM_SETRANGEMAX
0408,TTM_GETTOOLINFOA
0409,CBEM_GETEXSTYLE
0409,CBEM_GETEXTENDEDSTYLE
0409,PBM_SETBARCOLOR
0409,RB_GETRECT
0409,SB_SIMPLE
0409,TB_ISBUTTONENABLED
0409,TBM_CLEARTICS
0409,TTM_SETTOOLINFOA
040a,CBEM_HASEDITCHANGED
040a,RB_INSERTBANDW
040a,SB_GETRECT
040a,TB_ISBUTTONCHECKED
040a,TBM_SETSEL
040a,TTM_HITTESTA
040a,WIZ_QUERYNUMPAGES
040b,CBEM_INSERTITEMW
040b,RB_SETBANDINFOW
040b,SB_SETTEXTW
040b,TB_ISBUTTONPRESSED
040b,TBM_SETSELSTART
040b,TTM_GETTEXTA
040b,WIZ_NEXT
040c,CBEM_SETITEMW
040c,RB_GETBANDCOUNT
040c,SB_GETTEXTLENGTHW
040c,TB_ISBUTTONHIDDEN
040c,TBM_SETSELEND
040c,TTM_UPDATETIPTEXTA
040c,WIZ_PREV
040d,CBEM_GETITEMW
040d,RB_GETROWCOUNT
040d,SB_GETTEXTW
040d,TB_ISBUTTONINDETERMINATE
040d,TTM_GETTOOLCOUNT
040e,CBEM_SETEXTENDEDSTYLE
040e,RB_GETROWHEIGHT
040e,SB_ISSIMPLE
